"Model","Task_Prefix","Dataset_Name","Model_Responses","Gold_Labels","Min_K_Responses","cos_sim_scores","rouge_sim_scores","levenshtein_distance"
"HuggingFaceTB/SmolLM2-360M-Instruct","Summarize the following text: ","XSum","assistant
Douglas Ross, an assistant referee at the 2018 World","A leading Scottish Conservative MSP missed a parliamentary committee to referee a Champions League match in Portugal.","{'Min_10.0% Prob': 9.961859703063965, 'Min_20.0% Prob': 9.850190162658691, 'Min_30.0% Prob': 9.414556884765625, 'Min_40.0% Prob': 8.307630470820836, 'Min_50.0% Prob': 7.5192234251234265}","0.3187101185321808","{'rouge1': Score(precision=0.058823529411764705, recall=0.1, fmeasure=0.07407407407407408), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.058823529411764705, recall=0.1, fmeasure=0.07407407407407408)}","86"
"HuggingFaceTB/SmolLM2-360M-Instruct","Summarize the following text: ","XSum","assistant
Bedene, a 27-year-old British citizen, became a","British number three Aljaz Bedene is considering switching his allegiance back to Slovenia in order to compete at the Olympics.","{'Min_10.0% Prob': 10.210598945617676, 'Min_20.0% Prob': 9.25730276107788, 'Min_30.0% Prob': 8.597182989120483, 'Min_40.0% Prob': 7.695186085171169, 'Min_50.0% Prob': 7.258343869989568}","0.371780127286911","{'rouge1': Score(precision=0.1, recall=0.2, fmeasure=0.13333333333333333), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.05, recall=0.1, fmeasure=0.06666666666666667)}","99"
"HuggingFaceTB/SmolLM2-360M-Instruct","Summarize the following text: ","XSum","assistant
1. What is the significance of the High Court ruling in the UK's Brexit","A High Court case that could delay the Brexit process is ""a clear attempt to frustrate the will of the British people"", says a cabinet minister.","{'Min_10.0% Prob': 11.100865840911865, 'Min_20.0% Prob': 8.697978210449218, 'Min_30.0% Prob': 7.51633495092392, 'Min_40.0% Prob': 6.712498751553622, 'Min_50.0% Prob': 6.084136520113264}","0.599435031414032","{'rouge1': Score(precision=0.3076923076923077, recall=0.5, fmeasure=0.380952380952381), 'rouge2': Score(precision=0.08, recall=0.13333333333333333, fmeasure=0.1), 'rougeL': Score(precision=0.15384615384615385, recall=0.25, fmeasure=0.1904761904761905)}","105"
"HuggingFaceTB/SmolLM2-360M-Instruct","Summarize the following text: ","XSum","assistant
His body was found on concrete steps in North Street in the early hours of Sunday","A man in his 50s has died after being seriously assaulted in Swords, County Dublin.","{'Min_10.0% Prob': 8.38423752784729, 'Min_20.0% Prob': 7.534439206123352, 'Min_30.0% Prob': 6.917392253875732, 'Min_40.0% Prob': 6.079526662826538, 'Min_50.0% Prob': 5.304066896438599}","0.1888037770986557","{'rouge1': Score(precision=0.2, recall=0.17647058823529413, fmeasure=0.18750000000000003), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.13333333333333333, recall=0.11764705882352941, fmeasure=0.125)}","69"
"HuggingFaceTB/SmolLM2-360M-Instruct","Summarize the following text: ","XSum","assistant
The 51-year-old man was arrested in North Yorkshire on Wednesday","A vicar arrested in connection with historical sexual abuse has been suspended by the Church of England.","{'Min_10.0% Prob': 16.350656509399414, 'Min_20.0% Prob': 13.059534708658854, 'Min_30.0% Prob': 10.627264308929444, 'Min_40.0% Prob': 9.486504316329956, 'Min_50.0% Prob': 7.655294269323349}","0.3632456958293915","{'rouge1': Score(precision=0.17647058823529413, recall=0.23076923076923078, fmeasure=0.20000000000000004), 'rouge2': Score(precision=0.0625, recall=0.08333333333333333, fmeasure=0.07142857142857144), 'rougeL': Score(precision=0.11764705882352941, recall=0.15384615384615385, fmeasure=0.13333333333333333)}","81"
"HuggingFaceTB/SmolLM2-360M-Instruct","Summarize the following text: ","XSum","assistant
Carmarthenshire Council has funded Chief Executive Mark James in a case over remarks","A council boss has refused to say if he will honour a vow to repay compensation won in a libel case to the authority.","{'Min_10.0% Prob': 11.158897876739502, 'Min_20.0% Prob': 9.5367862701416, 'Min_30.0% Prob': 8.873715196337018, 'Min_40.0% Prob': 8.102728366851807, 'Min_50.0% Prob': 7.477810621261597}","0.2444119751453399","{'rouge1': Score(precision=0.20833333333333334, recall=0.35714285714285715, fmeasure=0.2631578947368421), 'rouge2': Score(precision=0.043478260869565216, recall=0.07692307692307693, fmeasure=0.05555555555555555), 'rougeL': Score(precision=0.20833333333333334, recall=0.35714285714285715, fmeasure=0.2631578947368421)}","89"
"HuggingFaceTB/SmolLM2-360M-Instruct","Summarize the following text: ","XSum","assistant
Kensington and Chelsea Council has won an earlier case against Sophie Sot","A London council has withdrawn an order forcing a mother to send her home educated child to school.","{'Min_10.0% Prob': 12.858359336853027, 'Min_20.0% Prob': 11.574169476826986, 'Min_30.0% Prob': 9.986474800109864, 'Min_40.0% Prob': 8.958370413099017, 'Min_50.0% Prob': 7.95082778400845}","0.2916150391101837","{'rouge1': Score(precision=0.16666666666666666, recall=0.23076923076923078, fmeasure=0.1935483870967742), 'rouge2': Score(precision=0.058823529411764705, recall=0.08333333333333333, fmeasure=0.06896551724137931), 'rougeL': Score(precision=0.16666666666666666, recall=0.23076923076923078, fmeasure=0.1935483870967742)}","75"
"HuggingFaceTB/SmolLM2-360M-Instruct","Summarize the following text: ","XSum","assistant
The $43 billion deal between Syngenta and ChemChina is the largest","Shares in Swiss agribusiness group Syngenta have risen 12% after its takeover by ChemChina was given the go-ahead by a US regulator.","{'Min_10.0% Prob': 10.58341916402181, 'Min_20.0% Prob': 9.09835171699524, 'Min_30.0% Prob': 7.834380149841309, 'Min_40.0% Prob': 6.986053906954252, 'Min_50.0% Prob': 6.101914055207196}","0.6505844593048096","{'rouge1': Score(precision=0.13043478260869565, recall=0.25, fmeasure=0.1714285714285714), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.13043478260869565, recall=0.25, fmeasure=0.1714285714285714)}","94"
"HuggingFaceTB/SmolLM2-360M-Instruct","Summarize the following text: ","XSum","","It is a drizzly Sunday morning in Guyana, and at the National Stadium a game of cricket is in full swing.","{'Min_10.0% Prob': 12.178096294403076, 'Min_20.0% Prob': 8.791966915130615, 'Min_30.0% Prob': 7.705362047467913, 'Min_40.0% Prob': 6.329247522354126, 'Min_50.0% Prob': 5.282301297554603}","0.0607252642512321","{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0, recall=0, fmeasure=0)}","102"
"HuggingFaceTB/SmolLM2-360M-Instruct","Summarize the following text: ","XSum","assistant
Dave Baker, the Olympus Trust's head of local government in Bristol,","Pupils at seven schools could have shorter days after a trust head say he may have to cut hours to save money.","{'Min_10.0% Prob': 12.291913032531738, 'Min_20.0% Prob': 10.757327556610107, 'Min_30.0% Prob': 9.552660397120885, 'Min_40.0% Prob': 8.688808970981174, 'Min_50.0% Prob': 7.565147240956624}","0.1247530579566955","{'rouge1': Score(precision=0.09090909090909091, recall=0.15384615384615385, fmeasure=0.1142857142857143), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.09090909090909091, recall=0.15384615384615385, fmeasure=0.1142857142857143)}","79"
