Model,Task_Prefix,Dataset_Name,Model_Responses,Gold_Labels,Min_K_Responses,cos_sim_scores,rouge_sim_scores
EleutherAI/gpt-neo-2.7B,Summarize the following text: ,Xsum,"
The fire was extinguished at around 06:00 BST.
The fire service said the fire was",About 50 firefighters tackled a large blaze at a five-storey disused mill in Greater Manchester.,"{'Min_10.0% Prob': 9.946403503417969, 'Min_20.0% Prob': 8.2433975537618, 'Min_30.0% Prob': 7.491831588745117, 'Min_40.0% Prob': 6.981692109789167, 'Min_50.0% Prob': 6.004241877131992}",0.3700750172138214,"{'rouge1': Score(precision=0.0625, recall=0.0625, fmeasure=0.0625), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0625, recall=0.0625, fmeasure=0.0625)}"
EleutherAI/gpt-neo-2.7B,Summarize the following text: ,Xsum,"
Ibrahimovic has scored in each of United's last three Premier League games, including a","Manchester United defender Marcos Rojo is a ""clean player with an aggressive nature"", says manager Jose Mourinho.","{'Min_10.0% Prob': 6.639965772628784, 'Min_20.0% Prob': 5.7509377002716064, 'Min_30.0% Prob': 5.311173677444458, 'Min_40.0% Prob': 4.865811258554459, 'Min_50.0% Prob': 4.45006365776062}",0.22572775185108185,"{'rouge1': Score(precision=0.11764705882352941, recall=0.13333333333333333, fmeasure=0.125), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.11764705882352941, recall=0.13333333333333333, fmeasure=0.125)}"
EleutherAI/gpt-neo-2.7B,Summarize the following text: ,Xsum,"
Zaha's decision to switch allegiance to the Elephants is not the first time he has","Ivory Coast are confident Wilfried Zaha will soon be part of their team, but new England boss Gareth Southgate has not given up on the forward.","{'Min_10.0% Prob': 8.085559527079264, 'Min_20.0% Prob': 7.013327519098918, 'Min_30.0% Prob': 6.127810001373291, 'Min_40.0% Prob': 5.291802128156026, 'Min_50.0% Prob': 4.582876674334208}",0.44293153285980225,"{'rouge1': Score(precision=0.15384615384615385, recall=0.25, fmeasure=0.1904761904761905), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.11538461538461539, recall=0.1875, fmeasure=0.14285714285714285)}"
EleutherAI/gpt-neo-2.7B,Summarize the following text: ,Xsum,"
The EDL march is due to take place on Armed Forces Day, 29 June, in Wool",Home Secretary Theresa May is considering banning two US bloggers from entering the UK to speak at an English Defence League rally.,"{'Min_10.0% Prob': 8.917990684509277, 'Min_20.0% Prob': 8.047016263008118, 'Min_30.0% Prob': 7.263541062672933, 'Min_40.0% Prob': 6.468286037445068, 'Min_50.0% Prob': 5.501012346961281}",0.10480644553899765,"{'rouge1': Score(precision=0.13636363636363635, recall=0.1875, fmeasure=0.15789473684210525), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.09090909090909091, recall=0.125, fmeasure=0.10526315789473685)}"
EleutherAI/gpt-neo-2.7B,Summarize the following text: ,Xsum,"
The book is published by the Indian publishing house, S Chand, which is owned by the Indian","Meat-eaters ""easily cheat, lie, forget promises and commit sex crimes"", according to a controversial school textbook available in India.","{'Min_10.0% Prob': 8.47497272491455, 'Min_20.0% Prob': 8.16389331817627, 'Min_30.0% Prob': 7.863829076290131, 'Min_40.0% Prob': 7.446567344665527, 'Min_50.0% Prob': 6.792142244485708}",0.0947149470448494,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}"
EleutherAI/gpt-neo-2.7B,Summarize the following text: ,Xsum,"
Attempt missed. Manuel da Costa (Morocco) header from the centre of the box misses",Egypt knocked out Morocco to reach the Africa Cup of Nations semi-finals as substitute Mahmoud Abdel-Moneim prodded home a dramatic 87th-minute winner.,"{'Min_10.0% Prob': 10.357397397359213, 'Min_20.0% Prob': 8.313931385676065, 'Min_30.0% Prob': 7.279976579878065, 'Min_40.0% Prob': 5.941157130094675, 'Min_50.0% Prob': 5.128670372068882}",0.4087482690811157,"{'rouge1': Score(precision=0.12, recall=0.21428571428571427, fmeasure=0.15384615384615383), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.12, recall=0.21428571428571427, fmeasure=0.15384615384615383)}"
EleutherAI/gpt-neo-2.7B,Summarize the following text: ,Xsum,"
The event is organised by the Irish Farmers' Association and the Irish Chamber of Commerce and Industry.",The agriculture minister is to return to China next month as attempts to access markets there continue.,"{'Min_10.0% Prob': 11.557334899902344, 'Min_20.0% Prob': 10.064523061116537, 'Min_30.0% Prob': 8.356190204620361, 'Min_40.0% Prob': 7.924898624420166, 'Min_50.0% Prob': 6.914942115545273}",0.19658152759075165,"{'rouge1': Score(precision=0.11764705882352941, recall=0.11764705882352941, fmeasure=0.11764705882352941), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.11764705882352941, recall=0.11764705882352941, fmeasure=0.11764705882352941)}"
EleutherAI/gpt-neo-2.7B,Summarize the following text: ,Xsum,"
The Nama deal was the subject of a parliamentary question in the Irish parliament in July.
",National Crime Agency (NCA) detectives investigating the sale of the National Asset Management Agency's (Nama) Northern Ireland loans portfolio have interviewed a former managing partner of a Belfast legal firm.,"{'Min_10.0% Prob': 7.6406486829121905, 'Min_20.0% Prob': 6.868465764181955, 'Min_30.0% Prob': 6.1201674504713575, 'Min_40.0% Prob': 5.535538554191589, 'Min_50.0% Prob': 4.911727521154615}",0.4591214656829834,"{'rouge1': Score(precision=0.16129032258064516, recall=0.3125, fmeasure=0.2127659574468085), 'rouge2': Score(precision=0.03333333333333333, recall=0.06666666666666667, fmeasure=0.04444444444444444), 'rougeL': Score(precision=0.12903225806451613, recall=0.25, fmeasure=0.1702127659574468)}"
EleutherAI/gpt-neo-2.7B,Summarize the following text: ,Xsum,"
""I accept that I have caused the death of my wife and my son.
""I","A County Tyrone car dealer, whose driving caused the death of a pensioner, has been given a community service order and a three-year driving ban.","{'Min_10.0% Prob': 9.584723790486654, 'Min_20.0% Prob': 8.417205174763998, 'Min_30.0% Prob': 7.006993346744114, 'Min_40.0% Prob': 6.080758730570476, 'Min_50.0% Prob': 5.39446382522583}",0.06628159433603287,"{'rouge1': Score(precision=0.19230769230769232, recall=0.3333333333333333, fmeasure=0.2439024390243902), 'rouge2': Score(precision=0.12, recall=0.21428571428571427, fmeasure=0.15384615384615383), 'rougeL': Score(precision=0.19230769230769232, recall=0.3333333333333333, fmeasure=0.2439024390243902)}"
EleutherAI/gpt-neo-2.7B,Summarize the following text: ,Xsum,"
She said: ""The council is consulting on the closure of Bodlondeb in Penpar","A council's proposal to shut a Ceredigion care home comes with ""no plan"" for care provision in the area, unions have said.","{'Min_10.0% Prob': 10.011133670806885, 'Min_20.0% Prob': 8.123033046722412, 'Min_30.0% Prob': 7.384075462818146, 'Min_40.0% Prob': 6.805128964510831, 'Min_50.0% Prob': 6.186555079051426}",0.20888037979602814,"{'rouge1': Score(precision=0.17391304347826086, recall=0.3076923076923077, fmeasure=0.2222222222222222), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.08695652173913043, recall=0.15384615384615385, fmeasure=0.1111111111111111)}"
